answer,input,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,-0.0638888888889,-0.4,1,0,0,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
,,,,,,,,,,,,space,2.18383812904,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
,,,,,,,,,,,,,,space,2.33643817902,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A bird can fly.,0,0,0,0,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,Cats have five legs.,0,1,1,1,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,Some people have long hair,0,2,2,2,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,People have teeth.,0,3,3,3,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,The sky is always brown and yellow.,0,4,4,4,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A clock tells time.,0,5,5,5,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,The color of grass is red.,0,6,6,6,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A school bus has a driver.,0,7,7,7,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,People like to drink gum.,0,8,8,8,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A butterfly has ten wings.,0,9,9,9,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A train goes on the road.,0,10,10,10,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A banana is to eat.,0,11,11,11,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,Summer is a season of the year.,0,12,12,12,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,Ants are very big.,0,13,13,13,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A fire is cold.,0,14,14,14,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A bus has wings,0,15,15,15,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,The color of milk is pink.,0,16,16,16,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A flower grows in the sky.,0,17,17,17,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A dog may bark at a cat.,0,18,18,18,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A room in a house has walls.,0,19,19,19,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,Golf is a game that some people like to play.,0,20,20,20,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,June is the month after March.,0,21,21,21,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,Most dogs can fly over the tops of mountains.,0,22,22,22,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,Some people like to go swimming on hot days.,0,23,23,23,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,Most windows are made of glass.,0,24,24,24,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A pen is for writing.,0,25,25,25,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,Monkeys live in fish tanks.,0,26,26,26,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,An insect may live under a rock.,0,27,27,27,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,A shoe goes on your head.,0,28,28,28,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A frog may swim in a pond.,0,29,29,29,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
Y,None,A beach by the ocean may have sand.,0,30,30,30,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,May is the last day of the week.,0,31,31,31,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,People sit on their hands at the dinner table.,0,32,32,32,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
N,None,You can see only one color in a rainbow.,0,33,33,33,,,,,,,,,,2017_Mar_14_0136,60.2384084655,reading_fluency,001,neww,
